"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
1 682 7 4 7 1 4 1 11 778 860 6 9 12 2 6 2 4 1 1 4
1 815 7 4 7 1 4 1 11 882 970 6 9 12 2 6 2 4 1 1 3
1 563 7 4 7 1 4 1 11 863 925 6 9 12 2 6 2 4 1 1 4
1 573 3 5 2 1 4 1 11 664 749 6 9 12 2 6 2 7 1 1 4
1 620 7 5 7 1 4 1 11 738 871 6 9 12 2 6 2 7 1 1 4
1 690 7 4 7 1 4 1 11 867 1030 6 9 12 2 6 2 7 1 1 3
1 641 3 5 7 1 4 1 11 854 840 6 9 12 2 6 2 4 1 1 4
1 642 7 5 2 1 4 1 11 786 895 6 9 12 2 6 2 7 1 1 3
1 441 3 4 7 1 4 1 11 810 1020 6 9 12 2 6 2 7 1 1 1
1 511 3 4 2 1 4 1 11 691 839 6 9 12 2 6 2 7 1 1 4
1 573 3 5 2 1 4 1 11 869 953 6 9 12 2 6 2 7 1 1 1
1 496 7 5 7 1 4 1 11 878 865 6 9 12 2 6 2 7 1 1 3
1 891 7 5 7 1 4 1 11 892 978 6 9 12 2 6 2 4 1 1 3
1 811 7 5 7 1 4 1 11 964 962 6 9 12 2 6 2 7 1 1 3
1 693 7 5 2 1 4 1 11 901 989 6 9 12 2 6 2 4 1 1 1
1 709 3 5 2 1 4 1 11 908 938 6 9 12 2 6 2 7 1 1 1
1 675 7 4 2 1 4 1 11 825 918 6 9 12 2 6 2 7 1 1 1
1 894 7 5 7 1 4 1 11 929 1005 6 9 12 2 6 2 7 1 1 1
1 771 7 4 7 1 4 1 11 1009 1041 6 9 12 2 6 2 7 1 1 4
1 847 7 5 2 1 4 1 11 912 932 6 9 12 2 6 2 7 1 1 3
1 456 3 4 2 1 4 1 11 813 870 6 9 12 2 6 2 4 1 1 4
1 462 7 4 2 1 4 1 11 773 889 6 9 12 2 6 2 4 1 1 3
1 877 7 5 7 1 4 1 11 846 943 6 9 12 2 6 2 4 1 1 4
1 595 7 4 2 1 4 1 11 781 899 6 9 12 2 6 2 7 1 1 4
1 711 3 4 7 1 4 1 11 811 850 6 9 12 2 6 2 7 1 1 3
1 476 7 4 7 1 4 1 11 774 841 6 9 12 2 6 2 7 1 1 4
1 546 3 5 2 1 4 1 11 864 928 6 9 12 2 6 2 4 1 1 3
1 793 3 4 7 1 4 1 11 917 950 6 9 12 2 6 2 7 1 1 3
