"dat[, 6]" "Temperature" "Humidity" "Wind.Speed" "general.diffuse.flows" "diffuse.flows"
"20020" 17804.69636 18.09 88 0.068 0.051 0.13
"36058" 14450.01021 23.61 78.5 0.313 413.3 77.2
"1505" 15504.57831 11.43 64.14 0.088 288 60.4
"27491" 38512.46862 30.06 24.01 4.914 0.084 0.078
"6889" 24851.9397 10.57 81.4 0.073 0.084 0.167
"22701" 18739.2 23.7 62.66 0.072 780 171.1
"7262" 14964.42211 13.61 74.5 0.073 106.1 107.9
"3385" 17887.22892 14.09 41.27 0.088 508 550.3
"18879" 15280.32389 18.4 88.2 0.069 0.073 0.111
"13150" 11520 14.47 91.1 0.069 7.04 6.31
"11377" 17268.3871 12.37 80.3 0.084 0.077 0.134
"44503" 11456.38554 19.11 75.8 0.068 0.048 0.141
"43697" 10002.67477 20.06 73.9 0.072 118.6 103
"8210" 17581.02513 13.23 70.2 0.085 0.033 0.159
"14008" 11973.81818 13.71 89.8 0.069 0.102 0.245
"180" 14637.10843 9.56 84.1 0.073 0.077 0.134
"9992" 13987.74194 11.41 76.5 4.918 289.6 58.93
"43279" 12226.13982 20.36 68.15 4.922 615.2 108.2
"29309" 32487.36402 32.61 28.65 4.909 885 47.05
"32033" 25417.42947 32.41 18.14 4.903 655.8 116.6
"44094" 10658.31325 14.86 83.5 0.082 0.044 0.122
"45302" 11751.3253 20.76 61.67 0.073 252.8 194.9
"4298" 25850.60241 16.34 76.1 4.913 0.022 0.163
"49902" 9617.286915 13.67 55.34 0.087 31.81 31.61
"28475" 30493.05439 32.68 38.02 4.919 428.2 62.39
"22727" 26578.70769 21.77 75.9 0.069 73.1 68.88
"24848" 19554.46154 28.9 32.92 4.921 910 60.67
"7935" 14368.1608 11.18 63.32 0.082 0.055 0.126
"36347" 14149.94893 22.8 64.62 0.294 462.1 76.7
"33281" 22937.68025 24.53 90.7 4.921 0.088 0.119
"49929" 14157.98319 12.49 63.58 0.081 3.565 3.635
"37864" 16785.78141 25.53 54.22 4.922 0.091 0.07
"11051" 16560 12.32 86.9 0.078 90.8 82.3
"40596" 17735.19757 20.31 76.3 0.086 0.062 0.096
"37259" 15350.19408 23.24 42.38 4.928 175.5 177.2
"15071" 19054.54545 18.91 64.32 0.076 213.8 187.1
"27208" 35313.13808 24.9 79.3 4.905 0.102 0.093
"2154" 21767.71084 16.3 52.4 0.081 0.066 0.096
"21330" 20812.95547 20.54 65.04 0.075 0.059 0.145
"34350" 21884.38871 26.93 66.46 4.919 771 154
"21521" 14843.07692 22.5 72.3 4.926 771 580
"14221" 18635.63636 16.17 79.3 0.074 135.3 126.6
"6767" 19474.01005 13.16 55.24 0.083 0.066 0.174
"7927" 15884.86432 11.45 63.48 0.087 0.059 0.13
"8705" 15480 15.02 81 0.089 516.7 59.79
"15362" 17972.36364 22.07 45.92 0.089 635.2 655.8
"461" 13665.54217 6.091 84.9 0.083 0.055 0.085
"90" 16678.55422 15.72 56.69 0.077 422 43.87
