"x" "y" "cru5_precip_hd_61-9012"
"110348" -86.25 13.25 1.20000004768372
"172493" 26.25 -29.75 1.79999995231628
"175366" 22.75 -31.75 0.899999976158142
"51562" 40.75 54.25 1.5
"158633" -63.75 -20.25 4.59999990463257
"58530" -75.25 49.25 2
"14703" -28.75 79.75 0.400000005960464
"63890" 84.75 45.75 0.400000005960464
"85552" 115.75 30.75 1.20000004768372
"183536" 147.75 -37.25 2.40000009536743
"66848" 123.75 43.75 0.100000001490116
"39397" 78.25 62.75 1
"155205" 22.25 -17.75 3.59999990463257
"48119" 119.25 56.75 0.200000002980232
"130578" -51.25 -0.75 4.5
"128590" 34.75 0.75 1.20000004768372
"94731" 25.25 24.25 0.100000001490116
"126416" 27.75 2.25 2
"30131" 125.25 69.25 0.5
"131641" 120.25 -1.25 4.90000009536743
"12499" -50.75 81.25 0.100000001490116
"39347" 53.25 62.75 1.5
"40753" 36.25 61.75 1.60000002384186
"55655" -72.75 51.25 1.70000004768372
"48756" 77.75 56.25 0.699999988079071
"145154" 36.75 -10.75 7.30000019073486
"122244" 101.75 5.25 11.8999996185303
"183818" -71.25 -37.75 0.600000023841858
"178480" 139.75 -33.75 0.600000023841858
"103528" 103.75 18.25 0.200000002980232
"39276" 17.75 62.75 2
"47253" 46.25 57.25 1.39999997615814
"58744" 31.75 49.25 1.60000002384186
"39419" 89.25 62.75 1.39999997615814
"30129" 124.25 69.25 0.5
"124818" -51.25 3.25 7.80000019073486
"81842" 60.75 33.25 0.800000011920929
"133825" 132.25 -2.75 8.5
"81020" 9.75 33.75 0.899999976158142
"79052" 105.75 35.25 0.100000001490116
"64711" 135.25 45.25 0.699999988079071
"52939" 9.25 53.25 2.29999995231628
"23610" 104.75 73.75 0.5
"30846" 122.75 68.75 0.5
"133622" 30.75 -2.75 3.79999995231628
"40250" 144.75 62.25 0.300000011920929
"89732" 45.75 27.75 0.300000011920929
"87714" 116.75 29.25 1.39999997615814
"132025" -47.75 -1.75 5.09999990463257
"45586" -67.25 58.25 1.39999997615814
"128398" -61.25 0.75 3.09999990463257
"31224" -48.25 68.25 1.39999997615814
"35365" -137.75 65.25 0.100000001490116
"41179" -110.75 61.25 0.600000023841858
"66748" 73.75 43.75 1
"137072" -44.25 -5.25 4.40000009536743
"160450" 124.75 -21.25 1.10000002384186
"27111" 55.25 71.25 0.899999976158142
"137951" 35.25 -5.75 4
"52240" 19.75 53.75 1.5
"81815" 47.25 33.25 2.29999995231628
"33102" 170.75 67.25 0.600000023841858
"29015" -72.75 69.75 0.300000011920929
"90884" -98.25 26.75 0.800000011920929
"94476" -102.25 24.25 0.5
"198228" -66.25 -47.75 0.400000005960464
"178437" 118.25 -33.75 0.5
"78132" 5.75 35.75 1.70000004768372
"12713" 56.25 81.25 0.400000005960464
"77542" 70.75 36.25 1.89999997615814
"54675" 157.25 52.25 2.79999995231628
"116348" 33.75 9.25 0.200000002980232
"86566" -97.25 29.75 1.79999995231628
"84029" 74.25 31.75 0.5
"121899" -70.75 5.25 1.79999995231628
"183535" 147.25 -37.25 2.5
"81090" 44.75 33.75 1.10000002384186
"90584" 111.75 27.25 1.5
"82247" -96.75 32.75 1.79999995231628
"75719" -120.75 37.25 1.29999995231628
"121893" -73.75 5.25 1.29999995231628
"43701" 70.25 59.75 0.899999976158142
"169825" 132.25 -27.75 0.600000023841858
"47272" 55.75 57.25 1.39999997615814
"82450" 4.75 32.75 0.400000005960464
"70318" 58.75 41.25 0.400000005960464
"48747" 73.25 56.25 0.699999988079071
"144266" -47.25 -10.25 7.5
"92358" -81.25 25.75 1.20000004768372
"169802" 120.75 -27.75 0.5
