humidity	longitude	latitude	date
80.3	-179.79	2.03	970715
93.9	-95.01	-2.0	961026
84.8	-179.89	0.04	951114
88.8	-179.86	4.99	970303
77.9	-140.04	2.01	950726
73.7	-155.0	0.0	940706
84.5	-154.93	-8.27	960421
81.0	165.0	-0.01	930827
68.7	-154.98	-4.98	941002
80.1	-124.87	5.34	960818
79.7	-94.89	5.09	961016
75.4	165.0	1.97	901110
87.9	-139.99	0.04	940125
86.1	-139.99	0.04	920514
88.0	-154.91	4.98	970612
71.1	-95.08	-5.01	961020
87.5	-124.88	5.34	951128
91.0	-109.99	-2.01	940904
83.0	-170.04	8.01	980102
79.9	164.34	-1.93	961228
82.3	146.99	5.0	941013
86.1	147.03	4.96	931229
73.7	156.05	0.02	960424
76.7	-154.97	-8.28	980518
81.6	-124.92	-2.04	920528
78.9	-125.0	-8.0	950214
84.6	-179.96	-7.99	951004
85.9	156.16	0.06	980605
77.9	-154.96	2.06	961102
81.9	165.03	0.0	940328
68.8	-179.87	0.02	940731
84.1	-154.99	-1.98	950612
89.8	-109.99	-2.01	930704
85.9	156.0	-1.98	930505
81.4	-179.92	5.0	950517
74.5	164.42	-1.91	971024
77.8	-154.98	-8.28	970422
84.0	-155.0	0.01	940310
87.4	-94.98	-0.03	970304
74.3	147.15	0.27	971016
74.0	-154.99	-2.0	970724
80.0	-139.91	-4.99	961008
71.2	-124.97	5.07	941014
79.7	157.51	0.0	921122
79.0	-139.99	0.05	931215
86.6	-109.99	-2.02	940525
77.9	-124.98	-8.01	940125
79.9	147.03	4.97	951212
78.5	137.02	2.03	920909
80.1	156.02	4.99	920424
78.6	165.02	2.0	950202
75.9	-155.01	7.95	941223
74.9	-170.03	1.97	930803
80.5	-169.98	5.0	920916
87.4	-139.84	4.91	970528
86.3	-139.99	-1.97	930320
87.1	156.03	8.02	950715
87.6	-95.08	-5.01	960723
84.3	-95.2	-4.98	950918
78.3	164.33	-1.93	970217
74.3	-124.86	5.14	971015
75.8	-169.95	4.98	971119
89.1	-140.28	8.99	930407
83.6	-95.08	-5.03	970625
88.1	-95.0	1.99	950116
80.1	-179.96	-8.0	950710
82.5	-154.96	-4.99	950209
88.4	-94.95	8.05	971123
82.6	-110.1	2.04	941204
79.7	165.0	5.03	950306
85.7	-109.93	-8.05	980226
77.0	-179.97	-7.99	941202
78.1	-124.97	-8.01	940204
78.8	-109.98	0.02	971215
81.6	137.02	2.03	950102
84.0	-124.98	5.06	940220
89.1	165.01	5.04	950102
86.5	147.02	1.99	940609
75.4	-170.04	-8.0	930618
81.0	137.42	2.45	970331
76.9	-125.06	1.97	970704
67.0	-179.96	-7.99	951014
86.3	-139.96	-2.0	950818
80.8	-154.99	-8.29	930907
82.4	154.02	0.12	930425
81.1	-154.98	0.0	960720
86.8	-110.02	-1.98	980103
82.2	-169.96	4.98	951204
85.5	-179.95	-4.97	950306
83.0	-179.86	2.0	951120
85.5	-179.83	1.99	930706
78.3	-110.02	-4.98	970522
77.7	164.4	-1.94	950928
84.6	156.2	2.08	980525
80.8	-179.95	-5.0	950723
77.8	-154.96	-8.28	960924
89.1	-179.94	-8.01	940606
82.5	-179.87	0.04	931211
89.5	156.0	-1.98	930604
85.9	-140.0	0.04	931228
85.4	-154.93	4.98	980202
76.0	156.1	5.0	971128
73.1	156.01	-4.99	960914
74.1	-110.16	8.04	961015
82.8	-140.02	1.95	940713
82.4	-179.96	-7.99	950203
86.6	-109.98	5.01	930724
84.8	-94.97	-1.99	930516
82.6	-125.01	-7.96	980531
81.9	-179.86	4.98	961011
86.1	-109.97	5.02	931008
85.2	-124.93	-2.04	970903
73.7	-169.97	5.0	940804
82.0	163.93	-4.71	930624
79.0	-125.02	-7.97	970113
77.8	156.16	0.0	970705
84.8	-179.88	0.04	930519
74.9	-170.03	1.97	960717
72.6	-179.9	4.99	950826
76.9	164.99	2.01	940129
77.8	-179.85	-7.99	970731
86.0	-139.81	4.91	971211
83.2	-124.33	-0.2	910415
83.0	-110.11	2.04	941227
83.4	142.97	0.0	930929
80.2	-139.93	-4.99	931221
80.9	-125.01	8.02	961009
79.8	164.43	-1.92	970819
81.5	-109.93	-8.05	960207
75.0	147.01	4.96	980311
75.0	164.98	2.0	960717
93.4	-170.03	-2.15	980505
92.0	-109.95	5.02	961222
79.0	156.02	0.0	930827
87.1	-124.37	-0.03	930703
90.4	-155.0	7.94	931203
80.8	147.04	4.96	960720
87.7	-140.32	8.96	971018
85.4	156.2	2.07	980312
86.9	-140.32	8.96	980425
74.4	-179.89	-1.99	941122
83.6	-169.99	-5.02	930705
76.7	147.02	4.97	971025
84.2	-139.91	-5.01	980418
82.4	164.98	2.06	930705
79.3	-170.01	7.99	941020
92.3	-124.9	-2.02	940222
80.0	-109.93	-8.06	960529
93.9	-125.01	7.98	940410
69.3	-179.89	-5.02	961028
79.5	-140.25	9.0	950717
86.7	-140.25	8.98	911110
77.0	-110.11	2.04	960519
76.5	-125.03	1.97	971007
87.9	-155.01	-1.98	970402
81.3	-125.07	1.97	950116
80.5	-109.99	-4.97	930926
78.7	-139.99	0.03	940904
83.6	-179.89	4.99	940425
80.7	-169.91	1.99	970811
82.4	-155.05	2.0	930208
82.1	-154.97	-4.98	950902
83.6	165.08	8.04	950220
81.4	-154.96	-8.28	980517
84.1	-155.0	7.95	970506
80.3	-124.97	-5.02	961023
83.6	-170.02	-2.16	980403
79.7	-124.91	-2.04	920419
89.6	-139.85	4.98	951110
73.7	156.08	2.0	950928
77.0	-139.9	-5.0	950718
81.0	-154.97	-4.99	950701
78.8	-170.02	8.02	960806
87.1	-179.87	-1.99	980507
79.1	146.99	-0.01	960225
85.6	164.98	2.0	970614
87.3	-94.95	8.06	971114
74.6	-154.99	-2.02	911031
86.7	165.0	5.04	950310
80.8	-179.88	7.99	941122
85.8	-124.9	-2.01	940726
83.7	165.21	-4.99	980204
84.5	-94.98	-1.99	941204
78.1	-179.93	-8.01	940124
80.7	164.43	-1.92	971130
75.8	165.0	0.0	950622
76.1	-170.0	-4.99	970212
85.4	-109.99	-5.01	940509
72.8	-109.96	5.07	940624
83.5	-95.11	-8.01	970218
79.0	-179.93	-8.01	941025
86.5	-170.02	1.97	980207
84.5	-179.87	0.03	940507
78.3	-110.03	0.02	941020
74.5	-170.03	-4.99	960318
78.2	-154.99	1.99	941227
90.2	-139.97	-2.02	971231
76.3	-179.91	0.0	970120
77.1	-155.01	0.01	920926
85.6	165.03	1.99	970803
80.5	-154.74	0.01	970906
81.6	-154.95	-8.29	950803
81.6	-155.05	2.01	930124
82.8	142.98	0.0	940129
86.4	165.01	8.02	960417
79.4	-139.96	-2.02	980427
80.1	-154.95	-5.01	930404
74.6	164.98	2.0	961126
91.0	-124.93	-2.05	961128
81.2	-179.87	7.99	951112
80.9	156.0	-1.98	940126
81.3	156.0	-2.0	970426
81.9	-125.28	1.95	960419
80.8	-95.1	-8.01	971018
89.1	-170.02	-2.19	930423
71.9	-170.03	2.01	941011
78.0	-170.05	1.99	951014
76.7	-179.87	0.03	940705
86.0	-154.96	-4.99	950811
80.8	155.95	-2.0	980322
82.9	-154.91	4.98	970913
82.3	-94.96	-1.99	930528
90.9	-95.02	-4.99	950206
76.1	-139.85	4.91	960710
85.9	-139.98	-1.98	921001
78.0	-110.17	8.05	970328
77.0	-170.01	1.99	921121
81.7	147.0	0.0	980529
79.7	-95.02	1.97	930819
81.0	-154.97	1.98	970827
84.4	-155.02	0.01	930321
84.0	164.99	5.04	931122
77.0	-154.95	-8.26	921231
70.2	-179.82	-7.98	960707
84.2	-109.99	-4.98	940419
86.6	-94.97	-1.99	930909
79.3	-154.9	5.01	930216
76.7	146.93	0.04	961023
77.9	-170.01	-2.25	970625
76.1	-170.03	-2.15	960225
95.0	-94.78	8.21	961006
80.9	-140.25	8.99	911010
88.2	-154.98	0.0	960315
77.9	156.04	0.0	920921
74.8	-139.91	-4.99	970525
77.1	-154.99	-8.27	940820
78.1	-139.97	-5.01	910204
90.2	-110.14	8.05	931212
82.9	-179.85	-1.99	980601
76.7	-95.01	-5.01	940910
82.0	-109.99	-2.01	931015
80.8	-109.92	-8.05	971123
82.8	-155.02	-1.98	960813
86.3	-140.01	5.01	920513
79.5	-179.86	-1.94	940418
79.0	-139.97	0.03	940813
87.7	-125.01	8.04	960405
86.8	-124.38	0.0	921128
84.9	165.0	0.0	971215
76.9	-109.95	-8.01	941023
82.3	156.22	4.98	970610
76.7	-124.92	-5.0	941130
90.3	-109.95	4.97	980618
81.4	165.03	2.0	950612
81.3	-179.8	2.03	980310
78.6	165.0	5.04	960724
75.5	146.98	0.0	980124
88.4	-110.1	2.04	950701
83.6	169.99	0.05	921219
81.3	-179.84	2.0	950326
91.4	-139.95	5.0	950513
78.9	-179.97	-7.99	950831
82.9	156.02	2.03	961219
81.2	137.43	2.43	970828
80.1	-110.09	2.03	940310
72.4	-109.99	-4.97	950510
75.4	165.03	0.0	940117
82.4	-140.04	5.03	910117
87.4	-169.95	4.97	960620
81.9	-154.98	0.0	961128
87.3	-170.05	-8.01	950830
85.2	-170.02	8.01	930801
84.0	-124.93	-2.03	970817
77.3	-140.01	5.02	920622
85.7	-155.01	-1.97	960624
87.9	-110.04	-1.99	970301
75.2	-139.97	4.99	950818
79.7	164.99	2.05	930616
80.9	-140.25	9.0	931202
85.6	165.02	8.02	951216
83.8	156.3	4.98	970826
84.8	165.01	8.02	950531
77.8	-179.87	1.99	950804
81.1	156.06	5.0	961213
78.3	-179.9	8.0	961018
78.0	164.99	2.01	940928
86.3	-139.85	4.91	951229
84.8	-124.9	-2.02	930425
79.4	-109.92	-8.05	950425
86.3	165.0	-8.01	921017
72.0	-170.02	-4.99	960716
83.6	-139.92	-5.02	960318
74.2	165.07	8.04	950225
75.8	-125.27	1.95	960112
84.4	165.02	5.02	980420
79.7	-95.09	-5.01	960926
72.2	-139.95	-2.01	970903
75.4	164.99	1.96	901019
80.2	164.97	2.0	970502
82.8	-169.94	1.99	971204
73.7	-155.07	2.01	930902
82.1	-110.01	-2.0	960804
81.1	-125.07	1.96	950302
76.6	156.01	2.0	911106
81.2	-110.4	2.1	960822
87.5	-109.99	-2.01	930715
76.3	156.0	-2.0	951202
78.6	-109.93	-8.06	970814
81.3	155.9	-1.99	921214
86.2	-179.89	5.0	941210
76.7	-154.98	-8.28	970408
78.9	-154.97	0.03	910804
83.2	-110.0	-4.99	910725
85.5	-124.91	-5.03	930828
74.1	-179.85	-7.99	970417
97.1	-96.09	-0.3	960124
79.8	-95.12	-8.01	970703
79.2	155.95	-1.92	971113
79.3	-169.97	4.98	980106
72.6	165.02	0.0	911130
87.7	-140.32	8.96	971020
78.7	-139.91	0.01	980415
85.9	-109.93	-8.02	940202
75.5	-170.04	1.97	931003
91.3	-109.97	5.02	940113
87.5	-124.39	-0.02	931025
82.9	-170.04	-0.05	931212
84.8	-125.08	1.96	940715
78.5	-154.9	5.0	931009
83.3	156.04	8.09	980413
80.1	-139.96	-4.97	920903
88.2	164.82	-8.04	980616
82.4	-109.93	-8.02	931126
78.9	-179.88	-2.0	950807
81.3	-155.03	2.01	920907
80.9	-155.01	-1.98	950603
86.3	-124.96	5.12	920419
76.6	137.02	2.02	920910
77.6	-155.02	-1.98	940831
74.0	-95.01	-4.99	940601
91.9	-94.95	8.05	971007
84.8	-170.06	-2.24	971027
80.9	-155.01	-1.99	951205
75.5	156.01	-5.01	971025
83.7	-155.03	0.0	970214
81.1	165.02	8.02	951006
78.1	-124.89	-2.03	920927
80.5	-154.95	-8.27	920830
80.1	-179.85	1.99	950524
83.0	-179.96	-5.02	970708
86.3	-170.04	-0.05	930426
79.6	-154.96	-8.28	971220
82.4	164.99	8.0	920630
88.6	-124.95	-2.0	951118
72.7	-170.01	-5.0	940422
76.7	-155.01	-1.98	940329
84.2	-140.21	-0.01	901227
91.2	164.97	-7.98	930702
71.7	-154.94	2.06	960712
75.0	165.08	8.05	930906
78.7	156.02	8.09	980329
78.9	157.51	-0.01	931123
79.5	-139.97	0.03	941008
85.8	-169.98	5.01	941213
87.4	-140.28	9.0	970228
81.1	-170.0	7.99	941015
75.6	-139.9	-5.0	950820
77.9	-179.9	8.0	960305
81.6	-109.96	4.98	980525
86.1	-170.05	8.0	980119
77.0	-170.04	-0.02	951210
73.2	-154.97	-8.28	970101
88.5	-170.04	-8.01	951104
82.8	-154.9	4.99	930429
83.8	-139.97	0.03	940619
79.3	-155.03	2.01	921202
86.7	-124.9	-2.02	930927
81.9	156.0	0.0	920915
80.4	137.01	2.03	940617
79.9	-110.86	2.08	971218
82.9	-94.96	5.02	970218
85.2	-110.09	2.07	980329
77.3	-155.03	-1.98	960913
71.3	-124.97	5.08	940922
80.7	156.07	5.0	970131
83.9	-139.85	4.98	951102
76.6	156.08	0.01	960428
79.7	-110.0	-4.99	911009
83.3	-170.02	-2.16	961005
78.1	-125.02	8.03	970728
79.7	165.01	5.03	940320
74.0	-154.97	1.97	970414
87.9	-169.99	4.99	920327
82.8	-124.94	5.1	911227
82.4	-154.99	-4.99	970525
85.0	-109.93	-8.05	960107
74.1	137.7	6.8	961213
91.9	-154.99	7.95	970414
68.4	165.14	-4.97	960318
80.0	164.99	2.0	960420
86.1	-155.0	-1.98	960515
